TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
Iowa,B10,33,22,114.4,95.8,0.8853,51.3,48.0,14.8,18.8,31.9,31.3,33.0,25.0,48.7,48.7,37.4,31.3,69.8,2.0,R32,7.0
Iowa St.,B12,35,23,121.4,98.6,0.9162,57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,56.7,49.5,38.7,33.5,72.3,3.6,S16,3.0
IPFW,Sum,32,22,110.4,108.4,0.5522,54.0,52.9,17.3,15.7,28.1,26.5,33.4,30.0,49.0,50.2,40.3,38.7,70.3,-2.7,,
IUPUI,Sum,31,12,97.8,102.1,0.3794,46.9,51.1,18.9,18.1,27.7,28.1,31.9,38.9,45.6,51.3,33.3,33.8,69.6,-11.0,,
Jackson St.,SWAC,34,18,94.1,101.1,0.3056,45.7,45.5,17.8,20.7,32.3,28.4,30.4,48.1,45.4,44.6,30.8,31.5,68.2,-10.7,,
Jacksonville,ASun,28,12,100.3,108.4,0.2895,49.7,53.6,15.4,17.4,27.0,26.1,31.4,33.5,45.0,52.7,38.9,36.6,71.3,-11.7,,
Jacksonville St.,OVC,29,7,96.9,108.7,0.2098,46.6,52.0,16.3,18.6,27.0,34.1,30.9,42.6,43.2,53.0,34.5,33.3,66.0,-18.0,,
James Madison,CAA,31,20,106.0,98.7,0.6935,51.6,45.5,17.2,15.4,29.5,27.0,37.0,37.0,50.9,47.3,35.0,28.7,67.7,-4.3,,
Kansas,B12,37,32,120.9,90.4,0.9662,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,70.1,11.6,E8,1.0
Kansas St.,B12,33,17,108.5,93.8,0.8431,47.6,49.0,20.3,20.8,37.0,31.0,42.5,40.4,48.7,50.4,30.0,31.0,67.6,-1.3,,
Kennesaw St.,ASun,29,9,100.7,107.9,0.3109,48.7,53.2,18.5,18.0,28.3,34.6,33.5,39.0,47.2,54.0,35.1,34.5,69.7,-13.0,,
Kent St.,MAC,31,18,105.4,106.8,0.4623,49.0,51.0,17.5,16.8,34.1,28.0,40.0,35.1,49.0,49.5,32.8,35.9,68.2,-7.0,,
Kentucky,SEC,36,27,123.2,95.1,0.9517,53.5,44.5,16.2,18.0,37.5,31.9,37.8,40.8,52.9,42.7,36.6,32.6,68.2,5.0,R32,4.0
La Salle,A10,30,8,99.2,105.3,0.3358,47.7,53.3,18.8,19.1,24.9,34.3,30.9,34.9,45.4,51.1,33.6,38.1,67.0,-12.6,,
Lafayette,Pat,30,6,99.0,114.4,0.1606,50.5,52.9,18.2,16.7,22.3,32.9,31.6,35.1,47.9,52.5,36.5,35.7,70.5,-19.4,,
Lamar,Slnd,26,7,95.3,112.8,0.1254,47.4,52.0,20.5,19.4,33.4,31.9,42.6,46.6,46.7,51.4,32.6,35.6,72.8,-15.9,,
Lehigh,Pat,31,16,104.1,105.0,0.4747,52.1,51.1,19.3,18.6,29.1,29.3,31.7,28.8,48.5,48.8,39.3,36.4,68.8,-9.6,,
Liberty,BSth,29,10,97.9,110.8,0.194,53.1,53.0,21.3,18.1,21.0,29.5,25.5,43.6,52.0,52.1,36.1,36.4,63.9,-14.0,,
Lipscomb,ASun,31,10,101.5,109.1,0.3032,51.5,52.9,18.6,17.7,26.9,30.2,34.7,35.8,50.5,51.1,35.2,37.0,73.9,-16.0,,
LIU Brooklyn,NEC,31,16,100.2,111.3,0.23,47.9,50.9,18.4,19.7,32.2,31.1,41.4,38.0,49.5,48.8,29.7,37.0,73.0,-12.5,,
