TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
San Diego St.,MWC,3,104.5163,94.816,.753180,47.7235,43.642,18.5208,11.8355,23.1323,27.3110,29.7258,37.3235,45.3284,40.319,34.0143,32.6172,67.8294,-0.2295
UC Irvine   (A) 195 Weber St.,BW,4,106.3135,96.841,.747581,52.5129,42.425,17.8170,13.9311,27.4240,13.71,24.0328,18.06,51.3173,40.926,36.786,30.2109,70.1136,+0.719
George Mason,A10,6,108.1106,98.568,.744582,52.6125,40.212,21.2310,18.2159,37.639,35.0298,51.217,35.4203,56.378,40.116,31.3219,26.938,67.8290,-1.8269
Saint Joseph's   vs. 17 Texas,A10,5,108.798,99.175,.743683,52.7123,48.2126,17.7165,18.2159,27.9225,32.1248,40.387,22.427,51.3173,49.8161,36.294,30.4117,70.794,+0.1260
Stanford,ACC,5,110.669,101.0103,.739784,52.2138,47.8113,12.716,21.266,39.021,22.219,40.982,36.7224,53.8122,50.0162,33.6151,28.981,67.6300,+0.2742
UNLV,MWC,4,111.063,101.4108,.738085,55.364,52.5227,15.175,21.659,28.0223,27.7119,43.453,33.6174,53.2138,50.7179,39.138,36.9293,67.4304,-0.47132
Seton Hall   vs. 72 Vanderbilt,BE,5,100.8242,92.25,.737886,45.3282,40.716,23.1340,24.117,31.9142,24.652,42.958,30.9124,38.8348,41.328,40.030,26.735,65.7352,-1.1204
Minnesota,B10,5,107.5111,98.467,.735287,46.9251,44.146,16.6126,22.151,31.8143,31.2224,42.067,25.352,48.8226,41.933,28.9278,31.9158,65.0360,-0.42127
Butler   (H) 214 Merrimack,BE,4,109.780,100.697,.729988,55.170,41.923,21.6316,13.5323,33.0108,35.8309,45.933,22.126,49.6209,42.741,41.320,26.837,69.0204,-0.6147
Bradley   vs. 173 Wright St.,MVC,5,108.5100,99.786,.724789,61.56,45.161,20.7286,16.4229,27.5236,26.795,41.968,36.1211,58.350,48.6123,43.98,26.127,68.4248,-0.2298
Florida Atlantic   vs. 106 Drake,Amer,6,110.074,101.2104,.723790,59.317,51.3202,17.7165,18.4149,21.8334,28.2134,44.645,34.1183,55.588,48.1119,43.112,36.8292,72.626,-0.30106
Oklahoma St.   vs. 38 Miami FL,B12,4,108.1107,99.580,.719891,47.6239,56.0308,14.663,23.428,34.380,20.99,39.0110,38.1246,46.3274,51.9193,33.3154,39.8336,73.311,-0.38117
Wichita St.   vs. 111 Saint Louis,Amer,4,109.484,100.9101,.717592,50.6173,48.8145,13.433,16.1239,28.6213,26.9100,49.019,29.8105,51.8163,51.0184,31.9203,30.5121,70.696,+0.718
High Point,BSth,5,114.333,105.4188,.716993,58.526,46.687,16.2109,18.3152,30.7169,30.2196,42.662,31.9145,57.564,45.171,40.030,33.0183,68.1273,+0.3538
UAB   vs. 178 Longwood,Amer,5,111.852,103.2141,.715394,47.9231,49.6165,14.971,17.0203,38.133,27.3110,31.8224,29.9107,50.0196,47.6108,28.2293,35.1245,70.0141,-1.3221
Florida St.   vs. 123 Temple,ACC,5,105.5146,97.454,.714895,48.0230,49.0149,17.0144,27.23,29.1205,28.2134,45.734,41.1287,52.4153,51.4188,26.9310,30.8129,72.725,-0.2296
Louisiana Tech,CUSA,4,108.2103,100.495,.704596,58.029,44.855,15.380,16.1239,37.543,39.5342,31.9220,28.487,58.252,47.2102,38.550,26.735,68.2265,+0.4930
Syracuse   vs. 19 Texas Tech,ACC,4,110.571,102.5129,.703997,50.0185,52.0217,13.124,13.8316,31.7147,17.94,34.9164,31.1129,56.080,54.9254,25.0330,31.6151,71.557,-0.2192
Colorado St.   (H) 186 UC Riverside,MWC,4,106.4134,98.870,.700998,54.781,49.8171,16.7132,21.955,24.4304,27.9125,34.5171,34.3189,62.015,47.7112,29.5260,35.8269,68.0280,-0.37115
Western Kentucky,CUSA,5,105.9139,98.466,.700599,48.1228,45.365,18.2193,18.8141,27.2244,23.124,28.0284,35.9208,46.9261,47.6108,33.3154,28.059,74.92,-1.1207
